openstates_person_id,name,district,Party,HB238 - Labor Rights,HB75 Legalizing Marijuana,HB521 Voter Protection,HB115-Public School Funding (Vouchers),HB675 - School Funding Cap,HB583 - Reducing Child Hunger,HB148 - LGBTQ Rights,HB433 -Child Marriage,HCR4 - Environment (Wind Power),HCR- Reproductive Freedom,HB1 - State Funding Bill,HB2 - Budget Trailer (All the Policy Stuff),HB22 - Protecting Trans People,HB23 - Vaccinations,HB24 - Gun Control,HB25 - The Dems Budget Proposal,HB26 - School Budget Cap Repeal,HB27 - Family Planning Services,HB28 - Child Advocacy Services (Intervening in Child Neglect/Abuse),HB29 - Medicaid,HB210 - Supporting the Arts,HB211 - Public School Funding,HB212 - Higher Ed Funding,HB213 - Dealing with the Opioid Crisis,HB214 Public School Funding,HB215 - Human Rights Commission
ocd-person/46f2bce3-b004-4b9c-8202-494feab86dee,Karen Hegner,HIL 41,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Did Not Vote,Pro-LGBTQ Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote
ocd-person/4c8bec8a-e86d-4316-8b2e-2f8c4157cae5,Kat McGhee,HIL 35,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/79bb2147-ea4b-4706-8b38-ee2309613ea0,Kate Murray,ROC 22,Democrat,Pro-Labor Vote,Did Not Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/b7d43cab-3399-4022-a2a4-9415937b3daa,Katelyn Kuttab,ROC 17,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Did Not Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Pro- School Budget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/a0a8c9d8-1f27-4d28-a249-8a5856ea5c05,Katherine Prudhomme-O'Brien,ROC 13,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/dca02694-20ad-476e-8b56-2ff59d3d8ba6,Kathleen Paquette,HIL 25,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/4f2dee8b-bbd5-41d9-8bd4-bf2f60556ed7,Kathy Staub,HIL 25,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/437d084e-35d3-4a37-9ccb-61d6fcc43b1c,Katy Peternel,CAR 6,Republican,Anti-Labor Vote,Pro-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/c975be5b-c686-4489-92d2-5b8ba36f9974,Keith Ammon,HIL 42,Republican,Anti-Labor Vote,Pro-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/0e6b2514-25d6-4e16-bcbd-5029e90df22d,Keith Erf,HIL 28,Republican,Anti-Labor Vote,Pro-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/b9b6f587-2395-497d-8f04-dfaae1b3d7f4,Kelley Potenza,STR 19,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Did Not Vote,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/e2f9dd7e-b221-4cf0-b7de-5daa70658669,Kenneth Weyler,ROC 14,Republican,Anti-Labor Vote,Did Not Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/2a474f9c-7a7d-4d4f-8c7c-73ade8e11ad8,Kevin Scully,HIL 8,Republican,Anti-Labor Vote,Pro-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/9d10ccec-b571-4eea-b025-9ed7634b6516,Kevin Verville,ROC 2,Republican,Anti-Labor Vote,Did Not Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Did Not Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/35bc8d7d-92ae-41de-95eb-d515df5b9e9b,Kimberly Rice,HIL 38,Republican,Pro-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Did Not Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Did Not Vote,Pro-State Funding,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote
ocd-person/8698b473-ea4e-4126-8766-a2b5b5878702,Kris Schultz,MER 29,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Anti-State Funding,Pro-Granite Stater,Anti-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/4246d501-b872-4cf9-bfd8-7ef21015da7a,Kristin Noble,HIL 2,Republican,Anti-Labor Vote,Pro-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/ea8d6a3b-8312-4ffe-a85a-e8a9776ec560,Kristine Perez,ROC 16,Republican,Anti-Labor Vote,Pro-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Pro-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Pro-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Pro- School Budget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/26d443c0-53fe-480b-bf4c-7b7a28a109e9,Larry Gagne,HIL 16,Republican,Did Not Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/ac414b7c-45dc-48b6-9530-eaa8e80b124f,Laura Telerski,HIL 11,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/90ca1969-94b3-4c8d-b712-e00e48a7a671,Laurel Stavis,GRA 13,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/efbf2adf-16f5-490e-9513-a80698aab5d8,Laurence Miner,ROC 7,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/b80b4918-c952-4015-82e5-585229f9c2eb,Lee Ann Kluger,HIL 6,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/b5f897f3-cce8-43b0-a130-f98d0d88da8e,Len Turcotte,STR 4,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Did Not Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/a70935b5-517e-4b70-accb-26e55c34fb42,Lex Berezhny,GRA 11,Republican,Anti-Labor Vote,Pro-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,Against Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/554fe6ba-061a-413f-b2c7-c0e10c47ad01,Lilli Walsh,ROC 15,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Pro-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/5d2f52fe-3001-4a7f-a33e-3fa580c1dc70,Lily Foss,HIL 41,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/a9f75dde-f348-4c7a-90c9-a785ee2de208,Linda DiSilvestro,HIL 17,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Did Not Vote,Pro-LGBTQ Vote,Did Not Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/61c86857-d1d9-401b-a045-3f4bac5b3312,Linda Franz,GRA 6,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Did Not Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/40ae4adb-2124-47ca-82b5-9eee794af4a2,Linda Gould,HIL 2,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Pro- School Budget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/1e2b57f6-dbb9-4069-a71b-d40828c80cfa,Linda Harriott-Gathright,HIL 10,Democrat,Pro-Labor Vote,Anti-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/ad3c3841-fa56-4055-bd86-8a3c504d36a9,Linda Haskins,ROC 11,Democrat,Pro-Labor Vote,Anti-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/4b68fc91-27b5-4065-af3d-b541877116f5,Linda McGrath,ROC 40,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Pro- School Budget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/d0a3a869-3612-4910-b31b-32a88667cb84,Linda Ryan,HIL 4,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/4d68b7bf-e7fb-4c6d-ac12-526aba53e65e,Lino Avellani,CAR 4,Republican,Anti-Labor Vote,Pro-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
